01:52:55  |  Core  |  Info  |  * Initialise: LanguageManager  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  45
01:52:55  |  Core  |  Info  |  LanguageManager successfully initialized  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  49
01:52:55  |  Core  |  Info  |  * Initialise: FactoryManager  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  40
01:52:55  |  Core  |  Info  |  FactoryManager successfully initialized  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  42
01:52:55  |  Core  |  Info  |  * Initialise: ToolTipManager  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  48
01:52:55  |  Core  |  Info  |  ToolTipManager successfully initialized  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ToolTipManager.cpp  |  60
01:52:55  |  Core  |  Info  |  Gui successfully initialized  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_Gui.cpp  |  133
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_Images.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
01:52:55  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  C:\data\codehg\dependencies\src\MyGUI\mygui-trunk-r4359\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  130
